,iterations,dimacs,runtime,solution,minisat_satisfiability,minisat_solution
88,26,n_5_m_23,0.0001,"[True,False,False,False,False]", SATISFIABLE,v 1 -2 -3 4 -5 0
89,26,n_5_m_24,0.0221,0, SATISFIABLE,v -1 -2 3 4 -5 0
90,26,n_5_m_10,0.0185,"[False,True,True,True,True]", SATISFIABLE,v -1 -2 3 -4 -5 0
91,26,n_5_m_11,0.0187,0, SATISFIABLE,v -1 2 3 4 5 0
92,26,n_5_m_12,0.0173,0, SATISFIABLE,v -1 2 -3 -4 -5 0
93,26,n_5_m_13,0.0001,"[False,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 5 0
94,26,n_5_m_14,0.0001,"[False,True,False,True,False]", SATISFIABLE,v -1 2 3 4 -5 0
95,26,n_5_m_15,0.0196,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
96,26,n_5_m_16,0.021,0, SATISFIABLE,v -1 2 -3 -4 -5 0
97,26,n_5_m_17,0.0001,"[False,True,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
98,26,n_5_m_18,0.0181,0, SATISFIABLE,v -1 2 -3 4 -5 0
99,26,n_5_m_19,0.0174,0, SATISFIABLE,v 1 2 3 -4 -5 0
100,26,n_5_m_20,0.0176,0, SATISFIABLE,v 1 -2 -3 -4 5 0
101,26,n_5_m_21,0.0182,0, SATISFIABLE,v -1 -2 -3 4 -5 0
102,26,n_5_m_22,0.0191,0, UNSATISFIABLE,0
103,26,n_5_m_23,0.019,0, SATISFIABLE,v 1 2 -3 4 -5 0
104,26,n_5_m_24,0.0206,0, UNSATISFIABLE,0
105,26,n_5_m_10,0.0181,0, SATISFIABLE,v -1 2 -3 4 5 0
106,26,n_5_m_11,0.0001,"[False,True,False,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
107,26,n_5_m_12,0.0001,"[True,True,True,True,True]", SATISFIABLE,v -1 -2 3 4 5 0
108,26,n_5_m_13,0.0001,"[True,True,True,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
109,26,n_5_m_14,0.0181,0, UNSATISFIABLE,0
110,26,n_5_m_15,0.0171,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
111,26,n_5_m_16,0.0178,0, SATISFIABLE,v -1 2 -3 4 -5 0
112,26,n_5_m_17,0.0001,"[False,True,True,False,False]", SATISFIABLE,v -1 2 3 -4 -5 0
113,26,n_5_m_18,0.0001,"[False,False,False,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
114,26,n_5_m_19,0.0001,"[False,False,False,True,False]", SATISFIABLE,v -1 2 3 4 -5 0
115,26,n_5_m_20,0.0187,0, SATISFIABLE,v 1 -2 -3 4 5 0
116,26,n_5_m_21,0.0182,"[True,False,False,False,False]", SATISFIABLE,v 1 -2 -3 -4 -5 0
117,26,n_5_m_22,0.018,0, UNSATISFIABLE,0
118,26,n_5_m_23,0.017,0, SATISFIABLE,v -1 -2 -3 -4 5 0
119,26,n_5_m_24,0.0181,0, UNSATISFIABLE,0
120,26,n_5_m_10,0.0172,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
121,26,n_5_m_11,0.0185,0, SATISFIABLE,v -1 -2 3 4 -5 0
122,26,n_5_m_12,0.018,0, SATISFIABLE,v -1 2 3 -4 -5 0
123,26,n_5_m_13,0.0173,0, SATISFIABLE,v -1 -2 -3 4 -5 0
124,26,n_5_m_14,0.0176,0, SATISFIABLE,v 1 -2 -3 -4 -5 0
125,26,n_5_m_15,0.0173,0, SATISFIABLE,v -1 -2 -3 4 -5 0
126,26,n_5_m_16,0.023,0, SATISFIABLE,v -1 -2 3 -4 -5 0
127,26,n_5_m_17,0.0183,0, SATISFIABLE,v 1 -2 3 4 5 0
128,26,n_5_m_18,0.0177,0, SATISFIABLE,v -1 2 3 -4 -5 0
129,26,n_5_m_19,0.0001,"[True,False,False,True,True]", SATISFIABLE,v 1 -2 -3 4 5 0
130,26,n_5_m_20,0.0001,"[True,True,False,False,False]", SATISFIABLE,v 1 2 -3 -4 -5 0
131,26,n_5_m_21,0.0176,0, SATISFIABLE,v 1 -2 -3 -4 -5 0
132,26,n_5_m_22,0.0175,0, UNSATISFIABLE,0
133,26,n_5_m_23,0.019,0, UNSATISFIABLE,0
134,26,n_5_m_24,0.018,0, SATISFIABLE,v -1 2 -3 4 5 0
135,26,n_5_m_10,0.0179,"[True,True,True,False,False]", SATISFIABLE,v -1 2 3 4 -5 0
136,26,n_5_m_11,0.0001,"[True,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 -5 0
137,26,n_5_m_12,0.0001,"[True,True,False,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
138,26,n_5_m_13,0.0171,0, SATISFIABLE,v -1 2 -3 4 5 0
139,26,n_5_m_14,0.0173,0, SATISFIABLE,v -1 -2 3 4 -5 0
140,26,n_5_m_15,0.0197,0, SATISFIABLE,v -1 2 -3 4 -5 0
141,26,n_5_m_16,0.018,0, SATISFIABLE,v -1 -2 3 4 -5 0
142,26,n_5_m_17,0.0181,0, SATISFIABLE,v -1 2 -3 -4 -5 0
143,26,n_5_m_18,0.0176,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
144,26,n_5_m_19,0.0177,0, SATISFIABLE,v 1 2 -3 4 5 0
145,26,n_5_m_20,0.0191,0, UNSATISFIABLE,0
146,26,n_5_m_21,0.0176,0, SATISFIABLE,v -1 2 -3 4 -5 0
147,26,n_5_m_22,0.0188,0, SATISFIABLE,v 1 -2 3 -4 5 0
148,26,n_5_m_23,0.0185,0, UNSATISFIABLE,0
149,26,n_5_m_24,0.0178,0, UNSATISFIABLE,0
150,50,n_5_m_10,0.0001,"[False,True,False,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
151,50,n_5_m_11,0.0192,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
152,50,n_5_m_12,0.0001,"[True,True,False,True,True]", SATISFIABLE,v -1 -2 -3 -4 5 0
153,50,n_5_m_13,0.0001,"[True,True,False,True,True]", SATISFIABLE,v 1 -2 -3 4 -5 0
154,50,n_5_m_14,0.0001,"[True,True,True,True,False]", SATISFIABLE,v -1 2 -3 4 -5 0
155,50,n_5_m_15,0.0001,"[True,True,False,True,False]", SATISFIABLE,v -1 -2 -3 4 -5 0
156,50,n_5_m_16,0.0001,"[False,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 5 0
157,50,n_5_m_17,0.0181,0, SATISFIABLE,v -1 -2 -3 4 -5 0
158,50,n_5_m_18,0.0175,0, SATISFIABLE,v 1 2 -3 -4 5 0
159,50,n_5_m_19,0.0166,0, UNSATISFIABLE,0
160,50,n_5_m_20,0.0183,0, SATISFIABLE,v -1 -2 -3 -4 5 0
161,50,n_5_m_21,0.0001,"[True,False,True,False,True]", SATISFIABLE,v -1 2 3 4 5 0
162,50,n_5_m_22,0.0178,0, SATISFIABLE,v 1 -2 3 -4 5 0
163,50,n_5_m_23,0.0177,"[False,True,False,True,False]", SATISFIABLE,v -1 2 -3 4 -5 0
164,50,n_5_m_24,0.0168,0, SATISFIABLE,v 1 2 -3 -4 -5 0
165,50,n_5_m_10,0.0001,"[False,False,True,True,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
166,50,n_5_m_11,0.0001,"[False,False,False,False,True]", SATISFIABLE,v -1 -2 -3 -4 5 0
167,50,n_5_m_12,0.0001,"[False,False,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
168,50,n_5_m_13,0.0178,0, SATISFIABLE,v -1 2 -3 4 -5 0
169,50,n_5_m_14,0.0001,"[True,False,False,False,False]", SATISFIABLE,v -1 -2 -3 4 -5 0
170,50,n_5_m_15,0.0001,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 3 -4 -5 0
171,50,n_5_m_16,0.0168,0, SATISFIABLE,v -1 -2 -3 -4 5 0
172,50,n_5_m_17,0.0209,0, SATISFIABLE,v -1 -2 3 -4 -5 0
173,50,n_5_m_18,0.0226,0, SATISFIABLE,v -1 2 3 4 -5 0
174,50,n_5_m_19,0.0212,"[False,True,True,False,True]", SATISFIABLE,v -1 -2 -3 4 -5 0
175,50,n_5_m_20,0.0178,0, UNSATISFIABLE,0
176,50,n_5_m_21,0.0187,0, SATISFIABLE,v -1 -2 -3 4 -5 0
177,50,n_5_m_22,0.0176,0, UNSATISFIABLE,0
178,50,n_5_m_23,0.0173,0, UNSATISFIABLE,0
179,50,n_5_m_24,0.0208,0, UNSATISFIABLE,0
180,50,n_5_m_10,0.0185,0, SATISFIABLE,v -1 2 -3 4 -5 0
181,50,n_5_m_11,0.0178,"[True,False,False,False,True]", SATISFIABLE,v -1 2 -3 -4 -5 0
182,50,n_5_m_12,0.0182,0, SATISFIABLE,v -1 2 -3 -4 -5 0
183,50,n_5_m_13,0.0174,0, SATISFIABLE,v -1 2 -3 -4 -5 0
184,50,n_5_m_14,0.0172,0, SATISFIABLE,v 1 -2 3 -4 -5 0
185,50,n_5_m_15,0.0174,0, SATISFIABLE,v -1 -2 3 -4 -5 0
