iterations,dimacs,runtime,solution,,,,
26,[9_k_3_n_5_m_10.dimacs],0.0179,"[True,","True,","True,","False,",False]
26,[9_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","True,","False,",True]
26,[9_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","False,",False]
26,[9_k_3_n_5_m_13.dimacs],0.0171,None,,,,
26,[9_k_3_n_5_m_14.dimacs],0.0173,None,,,,
26,[9_k_3_n_5_m_15.dimacs],0.0197,None,,,,
26,[9_k_3_n_5_m_16.dimacs],0.018,None,,,,
26,[9_k_3_n_5_m_17.dimacs],0.0181,None,,,,
26,[9_k_3_n_5_m_18.dimacs],0.0176,None,,,,
26,[9_k_3_n_5_m_19.dimacs],0.0177,None,,,,
26,[9_k_3_n_5_m_20.dimacs],0.0191,None,,,,
26,[9_k_3_n_5_m_21.dimacs],0.0176,None,,,,
26,[9_k_3_n_5_m_22.dimacs],0.0188,None,,,,
26,[9_k_3_n_5_m_23.dimacs],0.0185,None,,,,
26,[9_k_3_n_5_m_24.dimacs],0.0178,None,,,,
50,[0_k_3_n_5_m_10.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[0_k_3_n_5_m_11.dimacs],0.0192,None,,,,
50,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[0_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
50,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
50,[0_k_3_n_5_m_17.dimacs],0.0181,None,,,,
50,[0_k_3_n_5_m_18.dimacs],0.0175,None,,,,
50,[0_k_3_n_5_m_19.dimacs],0.0166,None,,,,
50,[0_k_3_n_5_m_20.dimacs],0.0183,None,,,,
50,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
50,[0_k_3_n_5_m_22.dimacs],0.0178,None,,,,
50,[0_k_3_n_5_m_23.dimacs],0.0177,"[False,","True,","False,","True,",False]
50,[0_k_3_n_5_m_24.dimacs],0.0168,None,,,,
50,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","True,",False]
50,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
50,[1_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","False,","True,",True]
50,[1_k_3_n_5_m_13.dimacs],0.0178,None,,,,
50,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[1_k_3_n_5_m_16.dimacs],0.0168,None,,,,
50,[1_k_3_n_5_m_17.dimacs],0.0209,None,,,,
50,[1_k_3_n_5_m_18.dimacs],0.0226,None,,,,
50,[1_k_3_n_5_m_19.dimacs],0.0212,"[False,","True,","True,","False,",True]
50,[1_k_3_n_5_m_20.dimacs],0.0178,None,,,,
50,[1_k_3_n_5_m_21.dimacs],0.0187,None,,,,
50,[1_k_3_n_5_m_22.dimacs],0.0176,None,,,,
