,dimacs,satisfiability,sat_ass
129,n_5_m_19, SATISFIABLE,v 1 2 3 4 -5 0
130,n_5_m_20, UNSATISFIABLE,0
131,n_5_m_21, SATISFIABLE,v -1 -2 3 -4 -5 0
132,n_5_m_22, UNSATISFIABLE,0
133,n_5_m_23, SATISFIABLE,v -1 -2 -3 -4 -5 0
134,n_5_m_24, SATISFIABLE,v -1 2 -3 4 -5 0
135,n_5_m_10, SATISFIABLE,v -1 -2 -3 -4 -5 0
136,n_5_m_11, SATISFIABLE,v -1 2 3 4 -5 0
137,n_5_m_12, SATISFIABLE,v -1 2 -3 4 -5 0
138,n_5_m_13, UNSATISFIABLE,0
139,n_5_m_14, SATISFIABLE,v -1 -2 3 -4 -5 0
140,n_5_m_15, SATISFIABLE,v -1 -2 -3 -4 5 0
141,n_5_m_16, UNSATISFIABLE,0
142,n_5_m_17, SATISFIABLE,v -1 -2 -3 -4 5 0
143,n_5_m_18, UNSATISFIABLE,0
144,n_5_m_19, SATISFIABLE,v -1 2 -3 4 -5 0
145,n_5_m_20, SATISFIABLE,v -1 2 -3 -4 5 0
146,n_5_m_21, SATISFIABLE,v -1 -2 -3 4 -5 0
147,n_5_m_22, SATISFIABLE,v -1 2 3 -4 -5 0
148,n_5_m_23, SATISFIABLE,v -1 2 3 4 5 0
149,n_5_m_24, SATISFIABLE,v -1 2 -3 4 5 0
